"value","market","date"
"2.84","2.88","2022-05-17"
"2.71","2.75","2022-05-16"
"2.75","2.79","2022-05-13"
"2.73","2.75","2022-05-12"
"2.8","2.84","2022-05-11"
"2.77","2.8","2022-05-10"
"2.76","2.8","2022-05-09"
"2.88","2.93","2022-05-06"
"2.84","2.86","2022-05-05"
"2.74","2.77","2022-05-04"
"2.84","2.85","2022-05-03"
"2.81","2.82","2022-05-02"
"2.75","2.75","2022-04-29"
"2.66","2.67","2022-04-28"
"2.64","2.66","2022-04-27"
"2.6","2.6","2022-04-26"
"2.7","2.71","2022-04-25"
"2.79","2.8","2022-04-22"
"2.8","2.82","2022-04-21"
"2.74","2.75","2022-04-20"
"2.7","2.72","2022-04-19"
"2.63","2.65","2022-04-18"
"2.61","2.64","2022-04-14"
"2.51","2.53","2022-04-13"
"2.52","2.55","2022-04-12"
"2.62","2.64","2022-04-11"
"2.59","2.6","2022-04-08"
"2.51","2.54","2022-04-07"
"2.51","2.51","2022-04-06"
"2.52","2.54","2022-04-05"
"2.44","2.46","2022-04-04"
"2.46","2.47","2022-04-01"
"2.39","2.41","2022-03-31"
"2.42","2.44","2022-03-30"
"2.45","2.46","2022-03-29"
"2.46","2.48","2022-03-28"
"2.49","2.5","2022-03-25"
"2.27","2.29","2022-03-24"
"2.2","2.2","2022-03-23"
"2.26","2.27","2022-03-22"
"2.18","2.18","2022-03-21"
"2.02","2.03","2022-03-18"
"2.02","2.02","2022-03-17"
"2.02","2.02","2022-03-16"
"1.97","1.98","2022-03-15"
"1.94","1.95","2022-03-14"
"1.8","1.8","2022-03-11"
"1.7","1.72","2022-03-10"
"1.65","1.67","2022-03-09"
"1.61","1.6","2022-03-08"
"1.51","1.51","2022-03-07"
"1.46","1.46","2022-03-04"
"1.59","1.6","2022-03-03"
"1.61","1.62","2022-03-02"
"1.48","1.48","2022-03-01"
"1.64","1.63","2022-02-28"
"1.74","1.74","2022-02-25"
"1.74","1.75","2022-02-24"
"1.79","1.81","2022-02-23"
"1.74","1.76","2022-02-22"
"1.72","1.72","2022-02-18"
"1.75","1.76","2022-02-17"
"1.8","1.8","2022-02-16"
"1.82","1.83","2022-02-15"
"1.78","1.78","2022-02-14"
"1.72","1.72","2022-02-11"
"1.81","1.82","2022-02-10"
"1.68","1.68","2022-02-09"
"1.69","1.7","2022-02-08"
"1.68","1.69","2022-02-07"
"1.71","1.72","2022-02-04"
"1.64","1.65","2022-02-03"
"1.61","1.61","2022-02-02"
"1.65","1.63","2022-02-01"
"1.64","1.63","2022-01-31"
"1.63","1.63","2022-01-28"
"1.65","1.64","2022-01-27"
"1.67","1.69","2022-01-26"
"1.64","1.64","2022-01-25"
"1.63","1.64","2022-01-24"
"1.62","1.64","2022-01-21"
"1.68","1.68","2022-01-20"
"1.68","1.7","2022-01-19"
"1.69","1.71","2022-01-18"
"1.61","1.59","2022-01-17"
"1.56","1.57","2022-01-14"
"1.5","1.51","2022-01-13"
"1.52","1.54","2022-01-12"
"1.5","1.51","2022-01-11"
"1.51","1.51","2022-01-10"
"1.5","1.51","2022-01-07"
"1.5","1.5","2022-01-06"
"1.42","1.44","2022-01-05"
"1.39","1.39","2022-01-04"
"1.25","1.26","2021-12-31"
"1.28","1.29","2021-12-30"
"1.3","1.32","2021-12-29"
"1.28","1.27","2021-12-24"
"1.26","1.28","2021-12-23"
"1.25","1.26","2021-12-22"
"1.29","1.3","2021-12-21"
"1.22","1.23","2021-12-20"
"1.18","1.19","2021-12-17"
"1.19","1.19","2021-12-16"
"1.26","1.26","2021-12-15"
"1.29","1.29","2021-12-14"
"1.24","1.25","2021-12-13"
"1.31","1.32","2021-12-10"
"1.35","1.38","2021-12-09"
"1.44","1.46","2021-12-08"
"1.48","1.49","2021-12-07"
"1.41","1.42","2021-12-06"
"1.34","1.33","2021-12-03"
"1.35","1.37","2021-12-02"
"1.35","1.34","2021-12-01"
"1.4","1.4","2021-11-30"
"1.41","1.41","2021-11-29"
"1.39","1.39","2021-11-26"
"1.56","1.58","2021-11-25"
